scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,651105937,"(79162.60997294809, 110825.50650781114)",14,140.0,2.3333333333333335,7332075.0,3772729.5,3473.0,148377.02,-0.12101429652884876,1.0,-1.1189232715333668,46.71094483183697,30,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,267191830,"(79142.12458574987, 110147.99333364889)",16,160.0,2.6666666666666665,12494150.0,4885590.15,5441.0,179775.21,-0.18653624687277692,1.0,-1.1855756060479326,76.09144799271598,31,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,973879301,"(79674.74465290352, 108320.76083363406)",20,200.0,3.3333333333333335,14081125.0,4976125.83,6442.0,177785.24,-0.21534428912427583,1.0,-1.215038295456539,101.37867021001875,32,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2097889540,"(79784.00005129402, 110271.17754713353)",18,180.0,3.0,13686000.0,5039964.95,6392.0,179773.95,-0.21331153177468298,1.0,-1.2128285315964284,92.41532465210184,33,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,287852352,"(79824.97082569046, 109771.59712578077)",18,180.0,3.0,12959650.0,5010843.33,5219.0,189224.24,-0.18315828139759072,1.0,-1.1826255650016289,94.81468615401536,34,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,823155374,"(78964.58456336532, 110147.99333364889)",17,170.0,2.8333333333333335,11075375.0,4639840.1,4931.0,173805.55,-0.1695823801241345,1.0,-1.1692482025887305,72.51640731701627,35,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,865678546,"(78343.1944850194, 109805.8149628574)",14,140.0,2.3333333333333335,9389375.0,5629593.75,3665.0,234933.67,-0.1401695208475251,1.0,-1.139025111798952,63.63497132901102,36,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1941050025,"(80343.9339680453, 109491.010861733)",19,190.0,3.1666666666666665,15168850.0,5208641.53,7337.0,180953.67,-0.2407939482731738,1.0,-1.2303707216115047,104.16666178684682,37,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,436916801,"(77831.05980506397, 110955.53428871091)",6,60.0,1.0,8976600.0,5903797.28,3554.0,251239.9,-0.13808444602236802,1.0,-1.1186155762215715,32.30545503133908,38,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1078591221,"(80227.85010725539, 109046.17897970695)",17,170.0,2.8333333333333335,14952425.0,5229742.73,7147.0,183889.38,-0.23581026316884035,1.0,-1.2298993930417002,110.14439056720585,39,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,563313608,"(78602.67605619681, 110072.71409207396)",13,130.0,2.1666666666666665,8460350.0,4460722.58,3698.0,178469.86,-0.13266972559873924,1.0,-1.1306575627085849,59.584101213142276,40,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,42568569,"(78295.39524822355, 110312.2389516281)",12,120.0,2.0,10207900.0,6896421.62,3938.0,269902.98,-0.15276969583874245,1.0,-1.149835500671533,53.87456176476553,41,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1611395863,"(79879.5985248857, 109798.9713954432)",17,170.0,2.8333333333333335,13853725.0,4968802.3,6207.0,178899.16,-0.20901493501603763,1.0,-1.203923931499209,120.76478416007012,42,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,133188514,"(78834.84377777661, 110996.59569320548)",11,110.0,1.8333333333333333,6893750.0,3576053.77,3283.0,140956.83,-0.11437415357577174,1.0,-1.1108429898834173,37.29615035839379,43,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,602173222,"(78616.33298099563, 109538.91583364364)",16,160.0,2.6666666666666665,9379075.0,5504786.4,3743.0,228120.74,-0.14137136013976326,1.0,-1.140762745957765,65.94736106786877,44,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1069973050,"(80330.27704324649, 109367.82664824929)",16,160.0,2.6666666666666665,13501525.0,4316916.8,6698.0,143976.61,-0.21670157090569908,1.0,-1.2045352277850543,101.89962748810649,45,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1041939683,"(78800.70146577958, 110702.32229432743)",13,130.0,2.1666666666666665,8533175.0,4578933.5,3876.0,183312.98,-0.13781677220305455,1.0,-1.1338833155739731,60.335694482084364,46,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,251122470,"(79572.31771691244, 110250.64684488438)",16,160.0,2.6666666666666665,11896500.0,4327536.17,5387.0,153654.86,-0.18091260282761612,1.0,-1.180327110919253,81.33738652104512,47,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2106117098,"(79381.12076972908, 108813.49768757075)",20,200.0,3.3333333333333335,14314100.0,5054877.3,6425.0,181056.74,-0.21585244615411792,1.0,-1.2151784536379537,100.36414497485384,48,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1608686207,"(79865.9416000869, 110497.01527185366)",19,190.0,3.1666666666666665,13727325.0,4399576.45,7165.0,144423.0,-0.22899297867192114,1.0,-1.2283478700524761,87.43060712423176,49,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,2065143097,"(79545.00386731482, 110387.5181931993)",18,180.0,3.0,14800000.0,5951829.22,6767.0,220121.49,-0.22976868274897844,1.0,-1.229420153479567,94.1672625481151,50,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
