scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,733998580,"(64485.04528777907, 89559.8386274632)",12,120.0,2.0,565425.0,644361.62,764.0,26385.56,0.9555071685222791,0.0,-0.020937965720206342,27.512285728007555,212,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,2073541151,"(65401.742403027136, 90207.85209368728)",6,60.0,1.0,172725.0,168065.62,393.0,5728.27,0.9805748099107817,0.0,-0.008512506595216851,14.286362493876368,213,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1167520908,"(63979.28136212565, 90347.61970405001)",11,110.0,1.8333333333333333,456400.0,679286.38,132.0,31817.81,0.9805952643003253,0.0,-0.014431389171784992,23.396874452009797,214,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1878049983,"(63296.50006249221, 90087.14370292146)",15,150.0,2.5,663550.0,772617.12,871.0,31908.62,0.9485210388481264,0.0,-0.03814323001019082,31.384224355686456,215,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,421544350,"(63846.518331640866, 89585.25092025567)",13,130.0,2.1666666666666665,1034075.0,1185219.88,892.0,51587.03,0.9385143227365534,0.0,-0.027478580930874408,29.33446593210101,216,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1627847105,"(64402.858649860136, 89845.72692138515)",14,140.0,2.3333333333333335,1053175.0,1167630.5,1076.0,49651.26,0.9314105811464628,0.0,-0.03899106553469667,32.0614997940138,217,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,2139196915,"(64453.43504242599, 90836.80634031631)",26,260.0,4.333333333333333,1940175.0,2562216.0,619.0,119308.32,0.9206893838792813,0.0,-0.063668613422457,53.34216417791322,218,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,165636437,"(64352.282257295214, 91332.34604978375)",8,80.0,1.3333333333333333,470275.0,654660.5,56.0,31087.5,0.9839344135176499,0.0,-0.007641850865061084,19.1400965959765,219,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,522301232,"(65572.43772793561, 91262.46224460285)",9,90.0,1.5,509700.0,659568.12,260.0,30110.42,0.975538707234842,0.0,-0.01307218010542377,21.133865231182426,220,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,315160799,"(64858.046182949096, 90519.15268040355)",14,140.0,2.3333333333333335,940100.0,1268770.75,250.0,59410.65,0.9630901624313765,0.0,-0.023474393752816125,30.571870571002364,221,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,551618685,"(64978.165115292184, 91021.04546306748)",23,230.0,3.8333333333333335,2046200.0,2521383.0,1047.0,114803.64,0.9037947080653775,0.0,-0.07776707785931947,54.53662672871724,222,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,668021669,"(65439.67469745129, 89388.30565110967)",8,80.0,1.3333333333333333,296750.0,390928.25,251.0,17268.27,0.9816990701992462,0.0,-0.010466455971886002,15.715210281312466,223,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,157174483,"(64168.94283424597, 90366.67892364413)",9,90.0,1.5,432850.0,615091.88,95.0,28958.63,0.9832811830387952,0.0,-0.011518531393814424,20.505432981066406,224,random_tactic,random_tactics,random
